station,month,month_name,slope,intercept,r2,rmse,n
anchor,11,Nov,0.8705795389342094,1.4882169453495186,0.9146595703112372,1.3303077193607782,605
anchor,12,Dec,0.8698653214625841,1.235396679779717,0.8939433895037935,1.524376650201814,629
kachemak,1,Jan,0.8668467903742282,-0.8070744147535257,0.9082305587708576,1.7496046262185685,404
kachemak,2,Feb,0.8864361433003989,-0.9088491943217869,0.9061443654818797,1.3873375825835073,355
kachemak,3,Mar,0.9162188625023716,-0.8632595698300464,0.9365758885406129,1.1353035888674072,393
kachemak,4,Apr,0.5533743959766788,-0.516813469994793,0.5835834947421109,1.7733176908631698,385
kachemak,5,May,0.7614943656933011,-0.0717729905943059,0.7091363950588244,1.4844655271978233,371
kachemak,6,Jun,0.939995338813386,-0.08071195037620718,0.8712979823939386,1.0270539033212565,314
kachemak,7,Jul,0.9267426649522028,0.4947851765044003,0.9156188370917272,0.6813407358343821,359
kachemak,8,Aug,-0.027213397455867972,10.770766553981526,0.019565423430268538,1.682075283323694,371
kachemak,9,Sep,0.37509344322934546,4.828226878759389,0.373052031167761,1.8509357491488423,371
kachemak,10,Oct,0.8294394299420005,0.7894196775573551,0.8681680273669844,1.1317634223216855,423
kachemak,11,Nov,0.776037222288736,-0.3729818184050234,0.8101722893081719,1.955293186576087,424
kachemak,12,Dec,0.740434191553929,-1.169652752351349,0.8008290558803625,2.0109709846227406,434
lower_kach,1,Jan,0.8955758452001615,-0.547829734067725,0.8711001826895721,2.021212051954932,268
lower_kach,2,Feb,0.8617119422421672,-0.5702051765367241,0.735668095570196,1.9961037272143718,254
lower_kach,3,Mar,0.8723185682382859,-0.25207546142265236,0.8691292767874784,1.399111229744079,279
lower_kach,4,Apr,0.7768024688224509,0.19478604551345458,0.8686613347484679,0.9666171610641756,277
lower_kach,5,May,0.8533766299109206,0.5442889189113149,0.8095945939501141,1.0043685412447643,268
lower_kach,6,Jun,0.8788053265568683,1.4469664889070357,0.8633661283149872,1.0148880846144237,253
lower_kach,7,Jul,0.8411638890737334,2.322957480227019,0.8977150005519866,0.7780338978170424,276
lower_kach,8,Aug,0.805025827258733,2.7248729012240362,0.8040812631841977,0.9512249552865744,274
lower_kach,9,Sep,0.861963903630251,1.8325369158643066,0.8187556783757924,0.9982677285242356,284
lower_kach,10,Oct,0.8821766289155025,1.3949511086759847,0.879753844495916,1.0204940872174586,341
lower_kach,11,Nov,0.9297530143093047,0.5961883215297437,0.9129156273229007,1.3152705084448704,330
lower_kach,12,Dec,0.9122250380897626,-0.06535519633238304,0.8510787929725459,1.7113224005589525,319
mfb_precip,1,Jan,1.635906040268456,0.0,,,299
mfb_precip,2,Feb,1.6519666269368294,0.0,,,243
mfb_precip,3,Mar,1.7005571030640658,0.0,,,229
mfb_precip,4,Apr,1.5740498034076003,0.0,,,219
mfb_precip,5,May,2.195592286501379,0.0,,,141
mfb_precip,6,Jun,2.3947368421052646,0.0,,,100
mfb_precip,7,Jul,1.8548672566371682,0.0,,,178
mfb_precip,8,Aug,2.0302702702702713,0.0,,,241
mfb_precip,9,Sep,1.5250439367311075,0.0,,,378
mfb_precip,10,Oct,1.457207207207207,0.0,,,389
mfb_precip,11,Nov,1.3941679235796884,0.0,,,347
mfb_precip,12,Dec,1.6108709079678813,0.0,,,341
