#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1265: Lower Kachemak Creek, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lower Kachemak Creek (1265) 
# Alaska  SNOTEL Site - 1960 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 12, 2026, 11:31:54 AM GMT-08:00
#
Date,Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Accumulation (in) Start of Day Values,Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2015-08-17,50.4,55.0,47.5,5.2,0,
2015-08-18,,60.1,,5.5,0,
2015-08-19,53.4,59.9,46.2,5.8,0,
2015-08-20,54.0,64.0,46.0,5.8,0,
2015-08-21,50.5,53.6,46.8,5.8,0,
2015-08-22,52.3,58.6,46.8,6.0,0,
2015-08-23,52.0,57.6,46.6,6.0,0,
2015-08-24,53.2,61.5,44.2,6.0,0,
2015-08-25,54.3,61.3,50.2,6.0,0,
2015-08-26,53.2,61.0,49.6,6.0,0,
2015-08-27,49.6,56.3,43.5,6.0,0,
2015-08-28,46.0,51.8,40.5,6.1,0,
2015-08-29,42.8,47.7,39.6,6.1,0,
2015-08-30,41.9,48.4,36.0,6.1,0,
2015-08-31,42.4,49.3,35.6,6.1,0,
2015-09-01,46.4,53.6,39.4,6.2,0,
2015-09-02,,,,6.2,0,
2015-09-03,45.9,48.7,42.8,6.2,0,
2015-09-04,48.0,52.0,45.9,6.6,0,
2015-09-05,47.7,51.1,46.0,6.7,0,
2015-09-06,47.1,50.2,44.6,6.7,0,
2015-09-07,49.1,56.8,44.8,7.0,0,
2015-09-08,46.2,48.7,43.2,7.0,0,
2015-09-09,45.0,47.5,42.8,7.5,0,
2015-09-10,44.1,48.2,40.3,8.5,0,
2015-09-11,44.8,50.5,41.7,9.7,0,
2015-09-12,42.3,45.9,38.5,9.9,0,
2015-09-13,42.1,44.6,39.0,10.0,0,
2015-09-14,42.6,52.7,37.9,10.2,0,
2015-09-15,43.2,45.0,41.5,10.5,0,
2015-09-16,40.6,46.8,36.9,10.7,0,
2015-09-17,36.9,41.5,32.2,10.8,0,
2015-09-18,35.1,42.6,31.8,11.0,0,
2015-09-19,37.0,45.7,31.5,11.2,0,
2015-09-20,37.0,46.2,31.3,11.2,0,
2015-09-21,36.0,42.6,32.9,11.2,0,
2015-09-22,37.8,44.4,32.4,11.2,0,
2015-09-23,36.1,40.5,30.0,11.2,0,
2015-09-24,34.3,41.9,26.4,11.2,0,
2015-09-25,41.4,46.8,34.7,11.2,0,
2015-09-26,43.7,46.9,41.7,11.2,0,
2015-09-27,45.0,47.1,42.1,11.3,0,
2015-09-28,47.1,50.9,44.6,11.6,0,
2015-09-29,35.2,45.3,29.3,11.6,0,
2015-09-30,33.1,37.9,28.9,12.2,0,
2015-10-01,37.2,44.6,30.6,0.0,0,
2015-10-02,39.4,42.8,36.0,0.1,0,
2015-10-03,39.4,42.3,36.0,0.5,0,
2015-10-04,41.4,52.7,37.0,0.7,0,
2015-10-05,40.3,47.5,37.2,0.7,0,
2015-10-06,40.1,42.6,37.8,0.7,0,
2015-10-07,42.4,47.7,40.5,0.7,0,
2015-10-08,46.6,49.8,44.6,0.9,0,
2015-10-09,42.6,48.2,40.1,1.6,0,
2015-10-10,39.9,42.3,36.9,1.6,0,
2015-10-11,41.0,46.8,36.9,1.9,0,
2015-10-12,38.8,43.7,35.1,2.1,0,
2015-10-13,38.8,45.3,34.5,2.1,0,
2015-10-14,39.6,43.3,34.2,2.2,0,
2015-10-15,41.4,44.6,38.5,2.4,0,
2015-10-16,45.0,48.2,42.4,2.4,0,
2015-10-17,41.7,44.2,38.8,2.5,0,
2015-10-18,38.1,39.9,36.7,2.6,0,
2015-10-19,38.8,42.1,35.6,2.9,0,
2015-10-20,40.6,44.4,37.4,3.1,0,
2015-10-21,38.8,46.0,34.5,3.1,0,
2015-10-22,37.9,44.4,33.3,3.1,0,
2015-10-23,37.0,41.0,34.2,3.1,0,
2015-10-24,36.7,41.0,31.6,4.0,0,
2015-10-25,40.1,43.9,37.8,4.9,0,
2015-10-26,41.2,45.7,38.8,4.9,0,
2015-10-27,44.2,46.8,40.6,4.9,0,
2015-10-28,41.4,44.6,38.5,5.0,1,
2015-10-29,39.7,46.2,36.3,5.4,1,
2015-10-30,28.9,36.3,25.3,5.4,1,
2015-10-31,28.0,38.8,23.0,5.9,5,
2015-11-01,29.8,36.0,23.9,5.9,2,
2015-11-02,34.5,36.3,32.4,5.9,2,
2015-11-03,30.6,34.9,25.0,6.0,1,
2015-11-04,33.1,37.2,28.9,6.2,2,
2015-11-05,33.6,36.9,31.5,6.2,2,
2015-11-06,33.4,35.8,31.6,8.4,2,
2015-11-07,30.2,32.4,28.6,8.4,2,
2015-11-08,30.9,37.4,25.9,8.5,2,
2015-11-09,29.8,34.5,26.1,8.6,3,
2015-11-10,27.1,28.8,26.2,8.8,3,
2015-11-11,29.5,35.8,24.1,8.9,3,
2015-11-12,24.4,36.3,19.6,9.1,3,
2015-11-13,19.0,22.5,15.6,9.1,3,
2015-11-14,14.7,18.3,9.9,9.2,2,
2015-11-15,11.7,18.7,7.2,9.2,2,
2015-11-16,8.2,12.0,3.4,9.2,2,
2015-11-17,9.1,12.9,4.5,9.2,3,
2015-11-18,16.7,23.2,10.9,9.2,2,
2015-11-19,29.1,35.1,21.7,9.3,4,
2015-11-20,33.4,36.1,30.2,9.7,4,
2015-11-21,23.4,32.7,18.7,10.1,4,
2015-11-22,25.3,28.8,19.9,10.2,5,
2015-11-23,30.9,36.9,24.1,10.4,5,
2015-11-24,37.6,40.3,35.8,10.4,4,
2015-11-25,35.2,39.4,32.0,10.9,3,
2015-11-26,38.8,42.4,35.6,13.9,3,
2015-11-27,36.3,39.9,33.1,14.5,1,
2015-11-28,33.4,35.8,31.8,17.6,2,
2015-11-29,32.0,33.8,30.2,18.8,6,
2015-11-30,32.0,34.3,30.6,19.3,9,
2015-12-01,31.3,34.7,23.7,19.6,10,
2015-12-02,31.6,35.2,29.5,19.6,10,
2015-12-03,28.9,32.5,25.3,19.7,9,
2015-12-04,26.1,28.8,22.3,19.7,10,
2015-12-05,27.1,30.6,19.9,19.7,10,
2015-12-06,26.4,33.4,19.9,19.7,10,
2015-12-07,,,,19.7,10,
2015-12-08,33.4,36.1,27.5,19.7,,
2015-12-09,31.5,35.1,27.0,19.7,9,
2015-12-10,32.5,35.4,30.9,19.7,9,
2015-12-11,30.4,35.4,23.2,20.0,11,
2015-12-12,20.8,23.4,16.0,20.5,15,
2015-12-13,23.9,30.2,16.2,20.5,14,
2015-12-14,28.4,31.3,24.1,20.7,11,
2015-12-15,27.7,33.8,23.9,20.8,11,
2015-12-16,27.7,32.5,24.4,21.0,13,
2015-12-17,27.0,31.5,23.2,21.3,12,
2015-12-18,30.4,33.1,24.4,21.3,14,
2015-12-19,29.8,31.5,26.6,21.6,11,
2015-12-20,26.1,29.5,23.9,21.9,15,
2015-12-21,23.4,26.8,19.8,22.0,16,
2015-12-22,20.5,23.7,16.2,22.0,15,
2015-12-23,20.3,23.0,18.7,22.0,14,
2015-12-24,24.8,28.9,22.1,22.0,14,
2015-12-25,30.2,33.4,27.3,22.0,13,
2015-12-26,30.0,31.8,28.4,22.3,15,
2015-12-27,32.0,33.8,30.0,22.4,9,
2015-12-28,34.5,37.4,31.5,24.4,9,
2015-12-29,35.8,39.4,32.7,25.5,10,
2015-12-30,34.2,37.9,31.3,25.7,9,
2015-12-31,31.6,36.7,27.9,27.0,10,
2016-01-01,33.8,37.0,30.2,27.3,10,
2016-01-02,33.1,35.4,30.7,28.3,12,
2016-01-03,32.7,35.6,29.1,29.5,12,
2016-01-04,33.6,37.9,32.0,29.9,12,
2016-01-05,33.1,38.3,28.9,31.4,16,
2016-01-06,29.7,33.8,25.9,31.7,15,
2016-01-07,33.1,36.0,31.8,31.8,15,
2016-01-08,36.0,38.5,34.5,31.8,15,
2016-01-09,31.6,36.7,27.9,32.1,14,
2016-01-10,32.9,39.0,30.0,32.7,15,
2016-01-11,36.1,39.7,34.2,33.6,18,
2016-01-12,29.8,34.5,26.6,33.6,16,
2016-01-13,26.1,30.9,22.5,33.7,16,
2016-01-14,29.7,34.9,23.2,33.9,21,
2016-01-15,33.1,35.4,31.5,34.0,20,
2016-01-16,32.9,36.1,30.4,34.1,16,
2016-01-17,35.1,37.9,32.0,34.1,16,
2016-01-18,35.2,38.5,28.9,34.5,18,
2016-01-19,34.9,36.9,32.5,34.5,18,
2016-01-20,32.9,36.0,30.9,34.5,18,
2016-01-21,34.5,37.2,30.0,34.8,19,
2016-01-22,34.5,40.1,31.6,34.9,19,
2016-01-23,32.7,35.4,29.7,35.0,20,
2016-01-24,33.6,39.0,31.6,35.1,19,
2016-01-25,33.6,38.5,30.6,35.2,20,
2016-01-26,32.2,33.8,29.8,35.9,20,
2016-01-27,35.1,39.6,32.0,36.2,20,
2016-01-28,32.9,35.8,27.5,36.9,21,
2016-01-29,28.8,33.4,25.9,37.1,21,
2016-01-30,30.2,33.8,26.1,37.1,21,
2016-01-31,33.1,35.1,30.6,37.1,21,
2016-02-01,32.0,36.0,28.8,37.1,21,
2016-02-02,31.6,35.6,25.3,37.1,21,
2016-02-03,33.1,35.6,31.6,37.2,21,
2016-02-04,32.4,36.0,30.4,37.4,21,
2016-02-05,30.7,32.9,27.9,38.2,23,
2016-02-06,30.9,38.5,27.1,38.6,23,
2016-02-07,31.8,35.6,29.3,38.6,23,
2016-02-08,31.8,33.3,30.2,38.6,23,
2016-02-09,32.0,35.8,28.4,39.0,22,
2016-02-10,35.6,39.4,27.3,39.2,22,
2016-02-11,34.7,38.1,32.0,39.3,21,
2016-02-12,35.2,38.1,32.0,39.9,22,
2016-02-13,32.9,36.1,30.7,40.0,22,
2016-02-14,33.3,37.0,31.3,40.0,22,
2016-02-15,32.5,41.0,28.0,40.1,22,
2016-02-16,28.4,33.1,25.3,40.2,23,
2016-02-17,28.8,31.3,26.1,40.2,22,
2016-02-18,29.5,32.0,27.3,40.2,22,
2016-02-19,29.1,31.6,27.1,40.2,22,
2016-02-20,30.0,32.7,27.5,40.2,22,
2016-02-21,28.8,32.0,25.7,40.4,22,
2016-02-22,32.0,36.0,28.9,42.4,22,
2016-02-23,31.6,32.9,29.1,42.7,22,
2016-02-24,33.8,39.2,32.0,43.1,23,
2016-02-25,32.9,38.8,30.4,44.4,23,
2016-02-26,33.6,37.8,30.9,44.7,24,
2016-02-27,32.5,36.0,29.5,45.2,25,
2016-02-28,32.2,35.4,29.1,45.5,25,
2016-02-29,30.7,32.5,28.0,46.5,27,
2016-03-01,31.6,34.9,29.7,46.6,27,
2016-03-02,33.1,45.3,28.0,46.6,27,
2016-03-03,29.8,39.7,25.9,46.6,26,
2016-03-04,26.8,33.3,21.2,46.7,26,
2016-03-05,32.7,35.8,30.2,47.1,30,
2016-03-06,35.1,45.7,31.8,47.1,30,
2016-03-07,32.7,35.6,30.2,47.1,29,
2016-03-08,30.4,34.3,27.9,47.1,28,
2016-03-09,33.8,42.6,29.5,47.1,29,
2016-03-10,32.2,34.9,29.3,47.1,28,
2016-03-11,32.5,35.2,30.4,47.2,28,
2016-03-12,34.5,42.8,29.8,47.7,28,
2016-03-13,33.4,42.3,29.7,47.7,28,
2016-03-14,32.4,45.3,28.8,47.7,28,
2016-03-15,31.3,40.3,26.1,47.7,28,
2016-03-16,26.8,33.1,20.8,47.7,29,
2016-03-17,30.0,33.8,24.8,47.7,29,
2016-03-18,28.9,35.8,22.8,47.9,29,
2016-03-19,24.1,32.7,19.9,47.9,29,
2016-03-20,34.3,37.8,32.0,48.0,29,
2016-03-21,36.3,41.7,32.0,48.1,28,
2016-03-22,36.0,37.8,33.4,48.3,26,
2016-03-23,37.6,39.9,34.7,48.8,25,
2016-03-24,35.6,37.8,32.2,48.8,24,
2016-03-25,31.5,35.6,28.4,48.9,23,
2016-03-26,30.6,40.1,27.0,49.0,23,
2016-03-27,32.0,39.0,26.6,49.0,23,
2016-03-28,36.3,39.0,32.9,49.1,22,
2016-03-29,38.3,45.9,35.4,49.2,21,
2016-03-30,37.8,43.9,35.8,49.2,19,
2016-03-31,42.6,47.5,36.0,49.3,16,
2016-04-01,35.2,40.5,31.3,49.3,12,
2016-04-02,33.4,39.4,29.5,49.7,11,
2016-04-03,32.5,38.8,29.3,49.7,11,
2016-04-04,34.2,39.7,29.7,49.8,11,
2016-04-05,35.1,40.5,32.2,49.9,10,
2016-04-06,33.1,35.2,31.6,50.0,10,
2016-04-07,35.4,41.0,30.7,50.7,13,
2016-04-08,35.1,41.9,31.5,50.8,12,
2016-04-09,34.7,38.5,32.9,50.9,12,
2016-04-10,,,,52.6,11,
2016-04-11,,,,,,
2016-04-12,,,,,,
2016-04-13,,,,,,
2016-04-14,,,,,,
2016-04-15,,,,,,
2016-04-16,,,,,,
2016-04-17,,,,,,
2016-04-18,,,,,,
2016-04-19,,,,,,
2016-04-20,,,,,,
2016-04-21,,,,,,
2016-04-22,,,,,,
2016-04-23,,,,,,
2016-04-24,,,,,,
2016-04-25,,,,,,
2016-04-26,,,,,,
2016-04-27,,,,,,
2016-04-28,,,,,,
2016-04-29,,,,,,
2016-04-30,,,,,,
2016-05-01,,,,,,
2016-05-02,,,,,,
2016-05-03,,,,,,
2016-05-04,,,,,,
2016-05-05,,,,,,
2016-05-06,,,,,,
2016-05-07,,,,,,
2016-05-08,,,,,,
2016-05-09,,,,,,
2016-05-10,,,,,,
2016-05-11,,,,,,
2016-05-12,,,,,,
2016-05-13,,,,,,
2016-05-14,,,,,,
2016-05-15,,,,,,
2016-05-16,,,,,,
2016-05-17,,,,,,
2016-05-18,,,,,,
2016-05-19,,,,,,
2016-05-20,,,,,,
2016-05-21,,,,,,
2016-05-22,,,,,,
2016-05-23,,,,,,
2016-05-24,,,,,,
2016-05-25,,,,,,
2016-05-26,,,,,,
2016-05-27,,,,,,
2016-05-28,,,,,,
2016-05-29,,,,,,
2016-05-30,,,,,,
2016-05-31,,,,,,
2016-06-01,,,,,,
2016-06-02,46.4,54.5,42.4,61.0,0,
2016-06-03,47.7,54.9,41.9,61.0,0,
2016-06-04,45.7,52.3,41.7,61.0,0,
2016-06-05,44.2,53.2,39.9,61.2,0,
2016-06-06,41.7,44.4,39.0,61.2,0,
2016-06-07,45.7,54.7,39.6,61.6,0,
2016-06-08,51.3,62.1,39.6,61.6,0,
2016-06-09,54.3,63.0,44.8,61.6,0,
2016-06-10,43.9,48.4,40.5,61.6,0,
2016-06-11,43.2,52.5,38.8,61.6,0,
2016-06-12,43.3,47.1,38.5,61.6,0,
2016-06-13,51.1,58.6,42.4,61.6,0,
2016-06-14,53.2,61.9,43.9,61.6,0,
2016-06-15,57.0,66.9,46.2,61.6,0,
2016-06-16,60.8,70.9,51.4,61.6,0,
2016-06-17,52.0,60.1,44.4,61.6,0,
2016-06-18,46.8,52.2,44.4,61.6,0,
2016-06-19,46.6,49.8,43.9,61.7,0,
2016-06-20,47.8,53.1,43.3,62.1,0,
2016-06-21,54.1,63.3,44.4,62.2,0,
2016-06-22,59.9,69.8,51.1,62.2,0,
2016-06-23,55.2,61.3,47.1,62.2,0,
2016-06-24,48.4,53.6,46.0,62.2,0,
2016-06-25,48.9,54.5,44.4,62.2,0,
2016-06-26,50.7,59.0,47.1,62.2,0,
2016-06-27,50.2,57.9,46.8,62.2,0,
2016-06-28,52.2,59.2,47.1,62.2,0,
2016-06-29,50.9,57.2,47.1,62.2,0,
2016-06-30,49.8,59.0,44.1,62.2,0,
2016-07-01,49.1,57.6,43.7,62.2,0,
2016-07-02,50.5,58.8,44.4,62.2,0,
2016-07-03,51.8,60.1,49.3,62.4,0,
2016-07-04,52.5,61.2,47.8,62.4,0,
2016-07-05,49.3,57.4,46.6,62.4,0,
2016-07-06,47.5,49.8,45.7,62.6,0,
2016-07-07,50.4,56.7,44.6,62.9,0,
2016-07-08,57.6,66.4,49.6,62.9,0,
2016-07-09,54.7,64.0,48.9,62.9,0,
2016-07-10,55.2,64.4,47.1,62.9,0,
2016-07-11,54.3,61.2,50.5,62.9,0,
2016-07-12,59.0,69.3,50.4,62.9,0,
2016-07-13,59.0,69.8,52.5,62.9,0,
2016-07-14,56.7,64.4,50.7,62.9,0,
2016-07-15,54.5,60.4,48.9,62.9,0,
2016-07-16,57.6,62.8,48.9,62.9,0,
2016-07-17,63.3,71.1,54.3,62.9,0,
2016-07-18,63.0,68.7,55.6,62.9,0,
2016-07-19,62.1,66.7,55.2,62.9,0,
2016-07-20,60.4,70.0,53.2,62.9,0,
2016-07-21,55.6,63.9,51.1,62.9,0,
2016-07-22,52.5,56.1,48.9,63.0,0,
2016-07-23,53.4,58.6,48.4,63.9,0,
2016-07-24,51.3,56.3,48.2,64.0,0,
2016-07-25,50.4,53.4,48.2,64.1,0,
2016-07-26,50.5,56.3,46.9,64.3,0,
2016-07-27,52.3,59.0,47.7,64.3,0,
2016-07-28,53.6,62.4,49.8,64.4,0,
2016-07-29,53.4,62.2,48.9,64.8,0,
2016-07-30,52.9,61.9,46.9,64.8,0,
2016-07-31,51.3,55.6,48.2,64.8,0,
2016-08-01,51.3,55.0,48.7,64.8,0,
2016-08-02,53.2,61.0,48.6,64.9,0,
2016-08-03,56.7,66.7,49.6,65.3,0,
2016-08-04,50.9,53.4,47.5,65.3,0,
2016-08-05,53.4,58.3,50.5,65.9,0,
2016-08-06,52.7,58.8,49.3,66.1,0,
2016-08-07,53.4,61.0,49.6,66.3,0,
2016-08-08,52.2,57.0,48.9,66.6,0,
2016-08-09,53.2,60.8,48.0,66.8,0,
2016-08-10,50.5,56.7,47.7,66.8,0,
2016-08-11,50.2,53.1,47.8,66.9,0,
2016-08-12,52.3,57.7,49.3,67.1,0,
2016-08-13,51.4,54.5,48.7,67.1,0,
2016-08-14,49.6,52.2,48.0,67.7,0,
2016-08-15,50.5,57.6,46.8,68.2,0,
2016-08-16,51.8,60.3,47.7,68.3,0,
2016-08-17,50.4,52.3,48.4,68.3,0,
2016-08-18,52.2,60.4,45.7,68.4,0,
2016-08-19,50.5,56.1,46.4,68.4,0,
2016-08-20,52.2,59.9,46.4,68.4,0,
2016-08-21,49.1,52.5,45.9,68.4,0,
2016-08-22,49.8,51.8,46.9,68.7,0,
2016-08-23,52.3,57.0,48.6,68.8,0,
2016-08-24,53.4,57.6,51.4,69.0,0,
2016-08-25,54.9,62.1,51.1,69.1,0,
2016-08-26,55.6,61.3,50.5,69.2,0,
2016-08-27,58.3,65.5,51.1,69.2,0,
2016-08-28,57.6,65.3,49.8,69.2,0,
2016-08-29,57.6,67.5,48.9,69.2,0,
2016-08-30,55.8,63.0,50.7,69.2,0,
2016-08-31,55.4,62.2,49.8,69.2,0,
2016-09-01,57.0,64.8,50.4,69.2,0,
2016-09-02,57.9,66.9,50.7,69.2,0,
2016-09-03,50.9,56.7,47.8,69.2,0,
2016-09-04,48.6,51.4,46.6,69.4,0,
2016-09-05,48.4,51.3,46.2,69.7,0,
2016-09-06,47.7,50.7,45.3,70.1,0,
2016-09-07,49.3,55.4,44.2,70.7,0,
2016-09-08,44.6,50.7,39.9,70.7,0,
2016-09-09,44.6,51.4,39.6,70.8,0,
2016-09-10,51.8,60.4,42.8,71.0,0,
2016-09-11,49.1,57.2,44.2,71.0,0,
2016-09-12,51.1,56.5,47.5,73.0,0,
2016-09-13,46.8,52.2,42.4,73.0,0,
